,client_ip,client_ip_flat,resp_time,sess_class,sess_end,sess_id,sess_start,sess_time
259,119.81.61.166,219181161266.0,0.18817499999999998,1.0,2015-07-22 09:04:42.449828,260.0,2015-07-22 09:00:29.145692,4.404841666666667
112,125.17.82.14,225117182114.0,0.085776,1.0,2015-07-22 09:04:42.952679,113.0,2015-07-22 09:00:28.371026,4.3191093333333335
21,110.172.137.145,210272237245.0,0.06957699999999999,1.0,2015-07-22 09:04:43.039265,22.0,2015-07-22 09:00:28.078577,4.302910333333333
77,106.78.65.56,206178165156.0,0.07229599999999999,1.0,2015-07-22 09:04:41.213484,78.0,2015-07-22 09:00:28.161422,4.2889626666666665
644,203.197.245.20,303297345120.0,0.11400099999999998,1.0,2015-07-22 09:04:42.577345,645.0,2015-07-22 09:00:31.738355,4.280667666666667
691,57.250.231.247,157350331347.0,0.153101,1.0,2015-07-22 09:04:39.644548,692.0,2015-07-22 09:00:32.148679,4.269767666666667
353,168.235.197.144,268335297244.0,0.041678,1.0,2015-07-22 09:04:43.090131,354.0,2015-07-22 09:00:29.754544,4.258344666666667
101,52.74.219.71,152174319171.0,0.00755,1.0,2015-07-22 09:04:43.352165,102.0,2015-07-22 09:00:28.348141,4.25755
3,180.179.213.94,280279313194.0,0.023913000000000004,1.0,2015-07-22 09:04:42.799708,4.0,2015-07-22 09:00:28.048369,4.257246333333334
662,49.202.45.66,149302145166.0,0.07229599999999999,1.0,2015-07-22 09:04:43.198086,663.0,2015-07-22 09:00:31.913256,4.255629333333333
16,14.102.53.58,114202153158.0,0.004745999999999999,1.0,2015-07-22 09:04:43.103201,17.0,2015-07-22 09:00:28.071994,4.254746
27,115.113.117.48,215213217148.0,0.0033880000000000004,1.0,2015-07-22 09:04:43.295910,28.0,2015-07-22 09:00:28.067445,4.253388
76,136.8.2.69,236108102169.0,0.033154,1.0,2015-07-22 09:04:41.799130,77.0,2015-07-22 09:00:28.251995,4.2498206666666665
130,117.205.216.124,217305316224.0,0.033154,1.0,2015-07-22 09:04:41.921149,131.0,2015-07-22 09:00:28.443411,4.2498206666666665
340,14.139.190.12,114239290112.0,0.033154,1.0,2015-07-22 09:04:42.845003,341.0,2015-07-22 09:00:29.649535,4.2498206666666665
149,106.186.23.95,206286123195.0,0.00919,1.0,2015-07-22 09:04:43.254073,150.0,2015-07-22 09:00:28.537317,4.242523333333334
148,182.19.66.187,282119166287.0,0.004945,1.0,2015-07-22 09:04:42.727770,149.0,2015-07-22 09:00:28.490153,4.238278333333334
176,170.74.56.80,270174156180.0,0.020909999999999998,1.0,2015-07-22 09:04:42.384035,177.0,2015-07-22 09:00:28.653079,4.2375766666666665
714,115.111.214.14,215211314114.0,0.153101,1.0,2015-07-22 09:04:37.852402,715.0,2015-07-22 09:00:32.325145,4.236434333333333
207,123.63.241.40,223163341140.0,0.014067999999999999,1.0,2015-07-22 09:04:42.520811,208.0,2015-07-22 09:00:28.882090,4.230734666666667
244,103.24.23.30,203124123130.0,0.011831999999999999,1.0,2015-07-22 09:04:42.494756,245.0,2015-07-22 09:00:29.080958,4.228498666666667
196,203.91.215.55,303191315155.0,0.027277,1.0,2015-07-22 09:04:41.797099,197.0,2015-07-22 09:00:28.803079,4.227277
102,115.248.71.233,215348171333.0,0.023913000000000004,1.0,2015-07-22 09:04:41.093435,103.0,2015-07-22 09:00:28.353512,4.2239130000000005
462,49.248.245.187,149348345287.0,0.020486000000000004,1.0,2015-07-22 09:04:43.229643,463.0,2015-07-22 09:00:30.418149,4.220486
252,168.235.197.80,268335297180.0,0.020486000000000004,1.0,2015-07-22 09:04:41.862500,253.0,2015-07-22 09:00:29.031010,4.220486
337,122.162.120.112,222262220212.0,0.0036000000000000003,1.0,2015-07-22 09:04:42.932732,338.0,2015-07-22 09:00:29.638450,4.220266666666666
1136,1.39.96.151,101139196251.0,0.15339,1.0,2015-07-22 09:04:40.793193,1137.0,2015-07-22 09:00:36.199986,4.220056666666666
336,203.99.218.140,303199318240.0,0.0032700000000000003,1.0,2015-07-22 09:04:42.923018,337.0,2015-07-22 09:00:29.631629,4.2199366666666664
1,203.91.211.44,303191311144.0,0.0024,1.0,2015-07-22 09:04:41.659895,2.0,2015-07-22 09:00:27.894580,4.2190666666666665
433,37.228.107.142,137328207242.0,0.0011580000000000002,1.0,2015-07-22 09:04:43.397005,434.0,2015-07-22 09:00:30.274217,4.217824666666667
223,14.141.77.41,114241177141.0,0.010039999999999999,1.0,2015-07-22 09:04:41.859883,224.0,2015-07-22 09:00:28.956157,4.21004
456,204.152.239.219,304252339319.0,0.005197,1.0,2015-07-22 09:04:42.659731,457.0,2015-07-22 09:00:30.439420,4.205197
233,54.251.151.39,154351251139.0,0.001014,1.0,2015-07-22 09:04:41.848805,234.0,2015-07-22 09:00:29.010307,4.201014
401,1.187.236.169,101287336269.0,0.067111,1.0,2015-07-22 09:04:38.059576,402.0,2015-07-22 09:00:30.038538,4.2004443333333334
479,103.17.86.211,203117186311.0,0.032261,1.0,2015-07-22 09:04:41.245103,480.0,2015-07-22 09:00:30.530003,4.198927666666667
432,183.82.1.148,283182101248.0,0.032261,1.0,2015-07-22 09:04:41.083019,433.0,2015-07-22 09:00:30.261971,4.198927666666667
673,198.147.160.75,298247260175.0,0.048514,1.0,2015-07-22 09:04:41.085207,674.0,2015-07-22 09:00:31.985527,4.198514
656,202.46.22.10,302146122110.0,0.015131,1.0,2015-07-22 09:04:42.956300,657.0,2015-07-22 09:00:31.833018,4.198464333333334
659,117.200.182.51,217300282151.0,0.010657,1.0,2015-07-22 09:04:43.346554,660.0,2015-07-22 09:00:31.863052,4.193990333333334
188,223.181.1.172,323281101272.0,0.008203,1.0,2015-07-22 09:04:40.728988,189.0,2015-07-22 09:00:28.779782,4.1915363333333335
55,167.219.48.10,267319148110.0,0.0066960000000000006,1.0,2015-07-22 09:04:39.340218,56.0,2015-07-22 09:00:28.195657,4.190029333333333
616,54.169.191.85,154269291185.0,0.0038979999999999996,1.0,2015-07-22 09:04:42.994961,617.0,2015-07-22 09:00:31.548428,4.187231333333334
574,122.179.36.196,222279136296.0,0.003856,1.0,2015-07-22 09:04:43.162708,575.0,2015-07-22 09:00:31.260555,4.187189333333333
201,115.113.250.2,215213350102.0,0.0032220000000000005,1.0,2015-07-22 09:04:40.258176,202.0,2015-07-22 09:00:28.857794,4.186555333333334
189,117.247.11.172,217347111272.0,0.06957699999999999,1.0,2015-07-22 09:04:36.366594,190.0,2015-07-22 09:00:28.787698,4.186243666666666
350,122.171.205.212,222271305312.0,0.0024,1.0,2015-07-22 09:04:40.812491,351.0,2015-07-22 09:00:29.743200,4.185733333333333
446,117.239.215.65,217339315165.0,0.014067999999999999,1.0,2015-07-22 09:04:40.458804,447.0,2015-07-22 09:00:30.329001,4.180734666666667
813,164.100.105.203,264200205303.0,0.028021,1.0,2015-07-22 09:04:42.526372,814.0,2015-07-22 09:00:33.254924,4.178021
116,113.193.194.184,213293294284.0,0.027277,1.0,2015-07-22 09:04:38.325970,117.0,2015-07-22 09:00:28.384849,4.177277
117,182.74.206.146,282174306246.0,0.008203,1.0,2015-07-22 09:04:38.603073,118.0,2015-07-22 09:00:28.381313,4.174869666666667
132,37.228.105.39,137328205139.0,0.07229599999999999,1.0,2015-07-22 09:04:35.231840,133.0,2015-07-22 09:00:28.452805,4.172295999999999
696,23.236.125.132,123336225232.0,0.021615,1.0,2015-07-22 09:04:41.304771,697.0,2015-07-22 09:00:32.157050,4.171615
793,115.248.37.69,215348137169.0,0.003438,1.0,2015-07-22 09:04:43.192735,794.0,2015-07-22 09:00:33.033206,4.170104666666667
1335,1.39.14.221,101139114321.0,0.153101,1.0,2015-07-22 09:04:39.407130,1336.0,2015-07-22 09:00:38.344480,4.169767666666667
785,106.51.60.116,206151160216.0,0.0024,1.0,2015-07-22 09:04:43.387565,786.0,2015-07-22 09:00:32.862538,4.169066666666667
742,122.15.56.56,222115156156.0,0.0019690000000000003,1.0,2015-07-22 09:04:43.352023,743.0,2015-07-22 09:00:32.564449,4.168635666666667
440,188.40.135.194,288140235294.0,0.017144,1.0,2015-07-22 09:04:39.368985,441.0,2015-07-22 09:00:30.321335,4.167144
915,66.102.6.187,166202106287.0,0.067111,1.0,2015-07-22 09:04:41.013817,916.0,2015-07-22 09:00:34.139602,4.167110999999999
1004,175.101.67.95,275201167195.0,0.028131999999999997,1.0,2015-07-22 09:04:43.117639,1005.0,2015-07-22 09:00:34.946443,4.161465333333334
592,14.139.188.145,114239288245.0,0.008806000000000001,1.0,2015-07-22 09:04:41.239128,593.0,2015-07-22 09:00:31.271544,4.158806
861,106.76.125.142,206176225242.0,0.07229599999999999,1.0,2015-07-22 09:04:39.718893,862.0,2015-07-22 09:00:33.752112,4.155629333333333
167,209.95.52.184,309195152284.0,0.0024,1.0,2015-07-22 09:04:38.319571,168.0,2015-07-22 09:00:28.625993,4.1524
398,171.161.56.16,271261156116.0,0.018224,1.0,2015-07-22 09:04:38.300820,399.0,2015-07-22 09:00:30.055627,4.151557333333334
836,192.71.175.2,292171275102.0,0.018224,1.0,2015-07-22 09:04:42.388709,837.0,2015-07-22 09:00:33.522780,4.151557333333334
549,123.63.133.53,223163233153.0,0.0011400000000000002,1.0,2015-07-22 09:04:41.073170,550.0,2015-07-22 09:00:31.096961,4.151140000000001
236,122.15.156.64,222115256164.0,0.011652999999999998,1.0,2015-07-22 09:04:37.615387,237.0,2015-07-22 09:00:29.031706,4.144986333333334
376,122.180.65.184,222280165284.0,0.011114999999999998,1.0,2015-07-22 09:04:38.061035,377.0,2015-07-22 09:00:29.770629,4.144448333333334
589,203.90.117.222,303190217322.0,0.011114999999999998,1.0,2015-07-22 09:04:39.871342,590.0,2015-07-22 09:00:31.379441,4.144448333333334
954,61.16.237.50,161116337150.0,0.006705,1.0,2015-07-22 09:04:43.246321,955.0,2015-07-22 09:00:34.468136,4.140038333333334
1006,175.100.149.29,275200249129.0,0.004455999999999999,1.0,2015-07-22 09:04:43.366524,1007.0,2015-07-22 09:00:34.950201,4.137789333333334
535,202.0.109.1,302100209101.0,0.0035450000000000004,1.0,2015-07-22 09:04:39.310482,536.0,2015-07-22 09:00:30.976523,4.136878333333334
927,193.202.110.180,293302210280.0,0.0032700000000000003,1.0,2015-07-22 09:04:42.910085,928.0,2015-07-22 09:00:34.187961,4.136603333333333
390,8.37.228.83,108137328183.0,0.0010749999999999998,1.0,2015-07-22 09:04:38.390743,391.0,2015-07-22 09:00:29.938549,4.134408333333334
18,107.167.109.204,207267209304.0,0.0010749999999999998,1.0,2015-07-22 09:04:36.107093,19.0,2015-07-22 09:00:28.019497,4.134408333333334
1689,203.99.196.25,303199296125.0,0.16499899999999998,1.0,2015-07-22 09:04:41.972819,1690.0,2015-07-22 09:00:43.178474,4.131665666666667
723,14.102.54.114,114202154214.0,0.011831999999999999,1.0,2015-07-22 09:04:40.132610,724.0,2015-07-22 09:00:32.408069,4.128498666666666
842,115.248.124.89,215348224189.0,0.011114999999999998,1.0,2015-07-22 09:04:40.598098,843.0,2015-07-22 09:00:33.581552,4.1277816666666665
451,14.141.91.20,114241191120.0,0.027601999999999998,1.0,2015-07-22 09:04:36.764634,452.0,2015-07-22 09:00:30.406438,4.1276019999999995
530,192.31.114.252,292131214352.0,0.010657,1.0,2015-07-22 09:04:38.611263,531.0,2015-07-22 09:00:30.941414,4.127323666666666
936,103.29.159.186,203129259286.0,0.027277,1.0,2015-07-22 09:04:40.662186,937.0,2015-07-22 09:00:34.281651,4.127276999999999
181,59.144.180.14,159244280114.0,0.021564,1.0,2015-07-22 09:04:35.386326,182.0,2015-07-22 09:00:28.676339,4.121563999999999
177,203.92.217.105,303192317205.0,0.003948,1.0,2015-07-22 09:04:35.825701,178.0,2015-07-22 09:00:28.668830,4.1206146666666665
985,125.16.61.188,225116161288.0,0.020486000000000004,1.0,2015-07-22 09:04:40.901959,986.0,2015-07-22 09:00:34.735047,4.120486
1217,124.124.224.75,224224324175.0,0.020486000000000004,1.0,2015-07-22 09:04:43.121057,1218.0,2015-07-22 09:00:37.058268,4.120486
901,117.205.64.36,217305164136.0,0.020486000000000004,1.0,2015-07-22 09:04:40.798022,902.0,2015-07-22 09:00:33.969084,4.120486
1492,14.139.238.131,114239338231.0,0.085776,1.0,2015-07-22 09:04:43.330975,1493.0,2015-07-22 09:00:40.732982,4.119109333333333
533,101.212.72.37,201312172137.0,0.0019690000000000003,1.0,2015-07-22 09:04:37.612253,534.0,2015-07-22 09:00:30.275180,4.118635666666666
528,20.139.66.64,120239166164.0,0.06687799999999999,1.0,2015-07-22 09:04:33.992580,529.0,2015-07-22 09:00:30.895767,4.116878
224,164.100.31.82,264200131182.0,0.06687799999999999,1.0,2015-07-22 09:04:32.446751,225.0,2015-07-22 09:00:28.980391,4.116878
1199,202.3.66.50,302103166150.0,0.028131999999999997,1.0,2015-07-22 09:04:42.377082,1200.0,2015-07-22 09:00:36.929348,4.111465333333333
784,175.101.68.117,275201168217.0,0.011114999999999998,1.0,2015-07-22 09:04:39.151495,785.0,2015-07-22 09:00:32.917398,4.111115
