,client_ip,client_ip_flat,resp_time,sess_class,sess_end,sess_id,sess_start,sess_time
0,123.242.248.130,223342348230,0.003275,1,22-07-2015 09:03:39.339,1,22-07-2015 09:00:28,3.169941667
1,203.91.211.44,303191311144,0.0024,1,22-07-2015 09:04:42.442,2,22-07-2015 09:00:28,4.219066667
2,1.39.32.179,101139132279,0.004945,1,22-07-2015 09:02:25.225,3,22-07-2015 09:00:28,1.954945
3,180.179.213.94,280279313194,0.023913,1,22-07-2015 09:04:43.443,4,22-07-2015 09:00:28,4.257246333
4,120.59.192.208,220159292308,0.015131,1,22-07-2015 09:01:14.114,5,22-07-2015 09:00:28,0.765131
5,117.239.195.66,217339295166,0.011115,1,22-07-2015 09:03:52.352,6,22-07-2015 09:00:28,3.411115
6,101.60.186.26,201160286126,0.00114,1,22-07-2015 09:03:52.352,7,22-07-2015 09:00:28,3.384473333
7,59.183.41.47,159283141147,0.014262,1,22-07-2015 09:03:19.319,8,22-07-2015 09:00:28,2.864262
8,183.83.237.83,283183337183,0.15339,0,22-07-2015 09:00:33.033,9,22-07-2015 09:00:28,0.236723333
9,117.195.91.36,217295191136,0.026151,0,22-07-2015 09:00:28.028,10,22-07-2015 09:00:28,0.026151
10,122.180.245.251,222280345351,0.001969,1,22-07-2015 09:03:26.326,11,22-07-2015 09:00:28,2.951969
11,117.198.215.20,217298315120,0.15339,0,22-07-2015 09:00:29.029,12,22-07-2015 09:00:28,0.15339
12,223.176.154.91,323276254191,0.021615,1,22-07-2015 09:04:29.429,13,22-07-2015 09:00:28,4.038281667
13,223.225.236.110,323325336210,0.021615,1,22-07-2015 09:01:36.136,14,22-07-2015 09:00:28,1.138281667
14,117.241.97.140,217341197240,0.015131,0,22-07-2015 09:00:36.036,15,22-07-2015 09:00:28,0.131797667
15,117.205.247.140,217305347240,0.021615,1,22-07-2015 09:01:04.14,16,22-07-2015 09:00:28,0.604948333
16,14.102.53.58,114202153158,0.004746,1,22-07-2015 09:04:43.443,17,22-07-2015 09:00:28,4.254746
17,203.200.99.67,303300199167,0.15339,1,22-07-2015 09:03:07.37,18,22-07-2015 09:00:28,2.80339
18,107.167.109.204,207267209304,0.001075,1,22-07-2015 09:04:36.436,19,22-07-2015 09:00:28,4.134408333
19,182.66.58.248,282166158348,0.021615,1,22-07-2015 09:03:32.332,20,22-07-2015 09:00:28,3.088281667
20,122.248.183.1,222348283101,0.0024,1,22-07-2015 09:03:39.339,21,22-07-2015 09:00:28,3.185733333
21,110.172.137.145,210272237245,0.069577,1,22-07-2015 09:04:43.443,22,22-07-2015 09:00:28,4.302910333
22,123.63.32.194,223163132294,0.003856,1,22-07-2015 09:01:39.139,23,22-07-2015 09:00:28,1.170522667
23,203.187.253.100,303287353200,0.021615,1,22-07-2015 09:01:07.17,24,22-07-2015 09:00:28,0.654948333
24,113.19.192.166,213119292266,0.011832,1,22-07-2015 09:01:26.126,25,22-07-2015 09:00:28,0.978498667
25,14.139.243.18,114239343118,0.001075,1,22-07-2015 09:03:12.312,26,22-07-2015 09:00:28,2.717741667
26,106.216.149.189,206316249289,0.020486,1,22-07-2015 09:01:37.137,27,22-07-2015 09:00:28,1.153819333
27,115.113.117.48,215213217148,0.003388,1,22-07-2015 09:04:43.443,28,22-07-2015 09:00:28,4.253388
28,49.15.87.240,149115187340,0.015131,1,22-07-2015 09:00:52.052,29,22-07-2015 09:00:28,0.398464333
29,120.56.144.188,220156244288,0.008806,1,22-07-2015 09:01:05.15,30,22-07-2015 09:00:28,0.608806
30,194.237.142.21,294337242121,0.15339,0,22-07-2015 09:00:33.033,31,22-07-2015 09:00:28,0.236723333
31,202.153.39.51,302253139151,0.15339,0,22-07-2015 09:00:28.028,32,22-07-2015 09:00:28,0.15339
32,202.153.39.51,302253139151,0.002374,1,22-07-2015 09:02:14.214,33,22-07-2015 09:00:28,1.769040667
33,59.89.107.50,159189207150,0.021615,1,22-07-2015 09:02:41.241,34,22-07-2015 09:00:28,2.238281667
34,117.218.218.10,217318318110,0.018224,1,22-07-2015 09:04:29.429,35,22-07-2015 09:00:28,4.018224
35,14.139.230.108,114239330208,0.008806,0,22-07-2015 09:00:42.042,36,22-07-2015 09:00:28,0.225472667
36,196.15.16.101,296115116201,0.003877,1,22-07-2015 09:04:23.423,37,22-07-2015 09:00:28,3.920543667
37,107.167.108.197,207267208297,0.011047,1,22-07-2015 09:00:55.055,38,22-07-2015 09:00:28,0.444380333
38,106.208.84.178,206308184278,0.164999,0,22-07-2015 09:00:34.034,39,22-07-2015 09:00:28,0.264999
39,106.220.161.208,206320261308,0.026151,0,22-07-2015 09:00:28.028,40,22-07-2015 09:00:28,0.026151
40,61.2.83.11,161102183111,0.021615,1,22-07-2015 09:01:36.136,41,22-07-2015 09:00:28,1.138281667
41,117.250.34.254,217350134354,0.164999,0,22-07-2015 09:00:33.033,42,22-07-2015 09:00:28,0.248332333
42,106.203.124.26,206303224126,0.00114,1,22-07-2015 09:01:12.112,43,22-07-2015 09:00:28,0.717806667
43,176.205.30.47,276305130147,0.026151,0,22-07-2015 09:00:28.028,44,22-07-2015 09:00:28,0.026151
44,122.169.170.254,222269270354,0.15339,0,22-07-2015 09:00:28.028,45,22-07-2015 09:00:28,0.15339
45,122.169.170.254,222269270354,0.00114,1,22-07-2015 09:02:00.20,46,22-07-2015 09:00:28,1.517806667
